catalogue,leader07_bibliographicLevel_ss,leader06_typeOfRecord_ss,count
onb,Monograph/Item,"Two-dimensional nonprojectable graphic",1003069
onb,Monograph/Item,"Manuscript language material",517476
onb,Monograph/Item,"Notated music",300900
onb,Monograph/Item,"Cartographic material",103579
onb,Monograph/Item,"Manuscript notated music",86958
onb,Monograph/Item,"Musical sound recording",32679
onb,Monograph/Item,"Three-dimensional artifact or naturally occurring object",3686
onb,Monograph/Item,"Computer file",3403
onb,Monograph/Item,"Projected medium",1305
onb,Monograph/Item,Kit,1121
onb,Monograph/Item,"Mixed materials",611
onb,Monograph/Item,"Nonmusical sound recording",264
onb,Monograph/Item,#,127
onb,Monograph/Item," ",10
onb,Monograph/Item,"Manuscript cartographic material",3
onb,Monograph/Item,s,1
onb,"Monographic component part","Language material",1522881
onb,"Monographic component part","Cartographic material",7499
onb,"Monographic component part","Musical sound recording",48
onb,"Monographic component part","Notated music",33
onb,"Monographic component part",n,9
onb,"Monographic component part","Computer file",5
onb,"Monographic component part","Manuscript language material",1
onb,"Monographic component part","Mixed materials",1
onb,"Monographic component part","Projected medium",1
onb,Serial,"Language material",170396
onb,Serial,"Computer file",504
onb,Serial,"Notated music",396
onb,Serial,"Two-dimensional nonprojectable graphic",88
onb,Serial,"Cartographic material",54
onb,Serial,"Musical sound recording",35
onb,Serial,"Manuscript language material",7
onb,Serial,"Projected medium",7
onb,Serial,"Nonmusical sound recording",3
onb,Serial,Kit,2
onb,Collection,"Manuscript language material",2440
onb,Collection,"Mixed materials",175
onb,Collection,"Language material",158
onb,Collection,"Two-dimensional nonprojectable graphic",94
onb,Collection,"Notated music",4
onb,Collection,"Manuscript notated music",2
onb,Collection,"Computer file",1
onb,"Integrating resource","Language material",945
onb,"Integrating resource","Computer file",28
onb,"Integrating resource","Cartographic material",4
onb,"Serial component part","Language material",12
onb,Subunit,"Language material",4
onb,Subunit,"Two-dimensional nonprojectable graphic",3
onb,Subunit,"Computer file",1
onb,n,0,2
onb,n,3,1
onb,n,7,1
onb,0,0,1
onb,0,2,1
onb,t,"Language material",1
onb,t,n,1
onb," "," ",1
onb,1,2,1
onb,7,2,1
onb,p,3,1
uva,Monograph/Item,"Language material",2378179
uva,Monograph/Item,"Manuscript language material",173910
uva,Monograph/Item,"Three-dimensional artifact or naturally occurring object",36618
uva,Monograph/Item,"Cartographic material",26818
uva,Monograph/Item,"Two-dimensional nonprojectable graphic",21595
uva,Monograph/Item,"Notated music",3783
uva,Monograph/Item,"Projected medium",1697
uva,Monograph/Item,"Manuscript cartographic material",244
uva,Monograph/Item,"Musical sound recording",134
uva,Monograph/Item,"Nonmusical sound recording",36
